  PERMNO        date            RET        vwretd        ewretd        sprtrn
   90319    20110606      -0.003862     -0.012446     -0.013344     -0.010760
   90319    20110607      -0.003896      0.000282      0.001428     -0.000956
   90319    20110608       0.000270     -0.005968     -0.010672     -0.004187
   90319    20110609      -0.004700      0.007448      0.005505      0.007378
   90319    20110610      -0.013982     -0.014080     -0.011776     -0.013980
   90319    20110613      -0.009372     -0.000903     -0.005617      0.000669
   90319    20110614       0.007212      0.013861      0.014384      0.012612
   90319    20110615      -0.010661     -0.017293     -0.014059     -0.017432
   90319    20110616      -0.005130     -0.000108     -0.000800      0.001754
   90319    20110617      -0.030677      0.002163      0.001297      0.003045
   90319    20110620      -0.000907      0.005342      0.002474      0.005395
   90319    20110621       0.017376      0.015891      0.016179      0.013423
   90319    20110622      -0.012160     -0.005474     -0.003055     -0.006468
   90319    20110623      -0.013932     -0.002584     -0.000871     -0.002828
   90319    20110624      -0.011120     -0.010561     -0.002417     -0.011726
   90319    20110627       0.016678      0.008067      0.005460      0.009184
   90319    20110628       0.022473      0.013690      0.010609      0.012944
   90319    20110629       0.007941      0.008723      0.004950      0.008283
   90319    20110630       0.017706      0.009707      0.008397      0.010119
   90319    20110701       0.028927      0.013471      0.010064      0.014410
   90319    20110705       0.021903     -0.000018      0.000809     -0.001336
   90319    20110706       0.005484      0.001148      0.002874      0.001002
   90319    20110707       0.020995      0.010619      0.011712      0.010454
   90319    20110708      -0.026729     -0.006328     -0.004797     -0.006961
   90319    20110711      -0.008853     -0.019338     -0.016317     -0.018090
   90319    20110712       0.012764     -0.003806     -0.002238     -0.004434
   90319    20110713       0.007959      0.005001      0.007494      0.003106
   90319    20110714      -0.017315     -0.008041     -0.009534     -0.006716
   90319    20110715       0.129845      0.006174      0.004226      0.005554
   90319    20110718      -0.004484     -0.009471     -0.011054     -0.008130
   90319    20110719       0.012791      0.016157      0.013523      0.016309
   90319    20110720      -0.011949      0.000056      0.000967     -0.000671
   90319    20110721       0.019552      0.012251      0.008889      0.013546
   90319    20110722       0.018518      0.001438      0.001586      0.000908
   90319    20110725       0.001213     -0.006273     -0.007887     -0.005643
   90319    20110726       0.005719     -0.004537     -0.004068     -0.004105
   90319    20110727      -0.024578     -0.021640     -0.021094     -0.020309
   90319    20110728       0.006126     -0.002926     -0.001403     -0.003234
   90319    20110729      -0.011867     -0.005606     -0.003052     -0.006451
   90319    20110801       0.005102     -0.003610     -0.000879     -0.004132
   90319    20110802      -0.023683     -0.025643     -0.021078     -0.025557
   90319    20110803       0.014804      0.004954      0.002260      0.005016
   90319    20110804      -0.039340     -0.050349     -0.047411     -0.047820
   90319    20110805       0.002632     -0.004785     -0.012547     -0.000575
   90319    20110808      -0.057025     -0.068664     -0.072385     -0.066634
   90319    20110809       0.050163      0.051214      0.047193      0.047407
   90319    20110810      -0.042552     -0.038550     -0.029835     -0.044152
   90319    20110811       0.023898      0.045247      0.037437      0.046290
   90319    20110812       0.002918      0.004764      0.004185      0.005262
   90319    20110815      -0.011601      0.022829      0.023020      0.021785
   90319    20110816      -0.032715     -0.010894     -0.012918     -0.009739
   90319    20110817      -0.010853      0.000845      0.000679      0.000947
   90319    20110818      -0.053025     -0.045310     -0.041324     -0.044594
   90319    20110819      -0.027650     -0.015358     -0.012201     -0.015009
   90319    20110822       0.014768      0.000037     -0.002608      0.000258
   90319    20110823       0.041452      0.033737      0.029031      0.034285
   90319    20110824       0.008616      0.011553      0.008018      0.013120
   90319    20110825      -0.006211     -0.015903     -0.015381     -0.015566
   90319    20110826       0.013114      0.016437      0.015544      0.015122
   90319    20110829       0.023194      0.029617      0.031522      0.028280
   90319    20110830       0.003005      0.003760      0.004724      0.002347
   90319    20110831       0.000481      0.005091      0.003022      0.004922
   90319    20110901      -0.015639     -0.012121     -0.013773     -0.011871
   90319    20110902      -0.014385     -0.024626     -0.022464     -0.025282
   90319    20110906      -0.005068     -0.008132     -0.008986     -0.007436
   90319    20110907       0.022693      0.029134      0.027153      0.028646
   90319    20110908       0.001741     -0.010869     -0.012275     -0.010612
   90319    20110909      -0.018899     -0.026578     -0.021056     -0.026705
   90319    20110912       0.010041      0.004140     -0.000416      0.006966
   90319    20110913      -0.001132      0.010801      0.011949      0.009120
   90319    20110914       0.004816      0.012782      0.011742      0.013480
   90319    20110915       0.019715      0.015462      0.008819      0.017187
   90319    20110916       0.007594      0.003563      0.001512      0.005707
   90319    20110919      -0.000018     -0.010934     -0.014296     -0.009803
   90319    20110920      -0.000082     -0.004104     -0.009079     -0.001661
   90319    20110921      -0.013583     -0.029425     -0.024666     -0.029390
   90319    20110922      -0.034384     -0.034393     -0.032856     -0.031883
   90319    20110923       0.009315      0.005756      0.007256      0.006082
   90319    20110926       0.012141      0.021584      0.009890      0.023336
   90319    20110927       0.014007      0.012842      0.015760      0.010688
   90319    20110928      -0.019468     -0.023685     -0.025352     -0.020691
   90319    20110929      -0.002534      0.008220      0.006639      0.008114
   90319    20110930      -0.023621     -0.024625     -0.018836     -0.024974
   90319    20111003      -0.037900     -0.031919     -0.041273     -0.028451
   90319    20111004       0.012875      0.023616      0.027309      0.022488
   90319    20111005       0.005579      0.019649      0.017119      0.017866
   90319    20111006       0.019834      0.020555      0.020344      0.018304
   90319    20111007       0.000797     -0.010923     -0.013551     -0.008163
   90319    20111010       0.042806      0.034255      0.029485      0.034125
   90319    20111011       0.011188      0.001062      0.005101      0.000544
   90319    20111012       0.009794      0.011796      0.015322      0.009795
   90319    20111013       0.019125     -0.002945     -0.000734     -0.002974
   90319    20111014       0.058480      0.017728      0.014655      0.017380
   90319    20111017      -0.015667     -0.020840     -0.020291     -0.019370
   90319    20111018       0.013908      0.020778      0.018461      0.020419
   90319    20111019      -0.016613     -0.014157     -0.012744     -0.012649
   90319    20111020       0.005114      0.003883      0.000394      0.004554
   90319    20111021       0.011685      0.019254      0.016331      0.018809
   90319    20111024       0.010042      0.016758      0.021869      0.012873
   90319    20111025      -0.022233     -0.019816     -0.017915     -0.020045
   90319    20111026       0.005402      0.011501      0.013134      0.010537
   90319    20111027       0.021081      0.036207      0.036277      0.034291
   90319    20111028       0.002455      0.000257      0.000381      0.000389
   90319    20111031      -0.012497     -0.024638     -0.019053     -0.024738
   90319    20111101      -0.023606     -0.028596     -0.025533     -0.027942
   90319    20111102       0.010663      0.017069      0.017888      0.016105
   90319    20111103       0.021682      0.019190      0.015892      0.018782
   90319    20111104      -0.002276     -0.005560     -0.004275     -0.006280
   90319    20111107       0.020448      0.004913      0.000138      0.006296
   90319    20111108       0.006592      0.011209      0.010416      0.011736
   90319    20111109      -0.018601     -0.037840     -0.033587     -0.036695
   90319    20111110      -0.009768      0.007420      0.004584      0.008616
   90319    20111111       0.022299      0.019767      0.016413      0.019489
   90319    20111114       0.007644     -0.009370     -0.011208     -0.009550
   90319    20111115       0.005807      0.004531      0.005085      0.004817
   90319    20111116      -0.008256     -0.015089     -0.010399     -0.016616
   90319    20111117      -0.017335     -0.017203     -0.013523     -0.016800
   90319    20111118      -0.009969     -0.000294      0.000960     -0.000395
   90319    20111121      -0.023433     -0.018647     -0.019135     -0.018648
   90319    20111122      -0.001618     -0.003934     -0.004842     -0.004141
   90319    20111123      -0.017052     -0.023237     -0.022580     -0.022095
   90319    20111125      -0.012471     -0.003630     -0.004910     -0.002686
   90319    20111128       0.044742      0.030509      0.027928      0.029240
   90319    20111129      -0.008943      0.002265     -0.002146      0.002214
   90319    20111130       0.028237      0.043878      0.038155      0.043315
   90319    20111201       0.023991     -0.002276     -0.003635     -0.001909
   90319    20111202       0.010737      0.000098      0.004885     -0.000241
   90319    20111205       0.008527      0.010289      0.009664      0.010287
   90319    20111206      -0.003005      0.000388     -0.000491      0.001106
   90319    20111207      -0.000609      0.001910      0.000724      0.002018
   90319    20111208      -0.011774     -0.022858     -0.022706     -0.021142
   90319    20111209       0.018456      0.017730      0.018907      0.016883
   90319    20111212      -0.003235     -0.015540     -0.013563     -0.014914
   90319    20111213       0.000384     -0.011232     -0.012526     -0.008686
   90319    20111214      -0.012084     -0.012733     -0.009141     -0.011348
   90319    20111215       0.002378      0.003745      0.002503      0.003243
   90319    20111216       0.010363      0.004962      0.003603      0.003216
   90319    20111219      -0.006598     -0.012648     -0.014677     -0.011733
   90319    20111220       0.013734      0.030024      0.026932      0.029825
   90319    20111221      -0.007218      0.002021      0.001410      0.001950
   90319    20111222       0.006200      0.008910      0.008202      0.008266
   90319    20111223       0.005463      0.007861      0.004194      0.009035
   90319    20111227       0.011230      0.000019     -0.000984      0.000079
   90319    20111228      -0.000859     -0.013637     -0.013493     -0.012478
   90319    20111229       0.004221      0.010773      0.008718      0.010707
   90319    20111230       0.005448     -0.002580      0.002144     -0.004291
   90319    20120103       0.030206      0.016152      0.017012      0.015474
   90319    20120104       0.004313     -0.000447     -0.001380      0.000188
   90319    20120105      -0.013871      0.002928      0.004055      0.002944
   90319    20120106      -0.013642     -0.002907     -0.000598     -0.002537
   90319    20120109      -0.042399      0.002815      0.004418      0.002262
   90319    20120110       0.001092      0.010420      0.011110      0.008886
   90319    20120111       0.004525      0.000951      0.004571      0.000310
   90319    20120112       0.005879      0.003046      0.005077      0.002337
   90319    20120113      -0.007385     -0.005312     -0.005005     -0.004948
   90319    20120117       0.005744      0.003904      0.003767      0.003553
   90319    20120118       0.006888      0.012296      0.013701      0.011108
   90319    20120119       0.010523      0.005580      0.005448      0.004939
   90319    20120120      -0.083775      0.000881      0.003698      0.000669
   90319    20120123      -0.000802      0.001606      0.001857      0.000471
   90319    20120124      -0.007839     -0.000804      0.003348     -0.001026
   90319    20120125      -0.019693      0.009956      0.009547      0.008672
   90319    20120126      -0.002441     -0.004907     -0.001075     -0.005746
   90319    20120127       0.020912      0.000698      0.006150     -0.001593
   90319    20120130      -0.003948     -0.003724     -0.004826     -0.002522
   90319    20120131       0.004189     -0.000076      0.001781     -0.000457
   90319    20120201       0.001241      0.011173      0.013730      0.008900
   90319    20120202       0.007369      0.001838      0.004402      0.001095
   90319    20120203       0.019176      0.014664      0.014936      0.014605
   90319    20120206       0.021398     -0.000989     -0.000431     -0.000424
   90319    20120207      -0.003809      0.001391      0.001486      0.002023
   90319    20120208       0.005076      0.002189      0.003480      0.002160
   90319    20120209       0.002640      0.001002      0.000374      0.001474
   90319    20120210      -0.009077     -0.008383     -0.009773     -0.006886
   90319    20120213       0.010381      0.007439      0.009485      0.006800
   90319    20120214      -0.003986     -0.001546     -0.004058     -0.000940
   90319    20120215      -0.006888     -0.004223     -0.003162     -0.005383
   90319    20120216       0.001585      0.012461      0.011497      0.011026
   90319    20120217      -0.003100      0.001387      0.002727      0.002349
   90319    20120221       0.015480      0.000152     -0.002241      0.000720
   90319    20120222      -0.009870     -0.003127     -0.004190     -0.003340
   90319    20120223      -0.003010      0.005699      0.008054      0.004272
   90319    20120224       0.006253      0.001495      0.000411      0.001672
   90319    20120227      -0.000967      0.000818     -0.000761      0.001355
   90319    20120228       0.014902      0.002910      0.000562      0.003356
   90319    20120229      -0.000226     -0.005676     -0.009158     -0.004737
   90319    20120301       0.006713      0.006806      0.004670      0.006158
   90319    20120302      -0.001848     -0.004921     -0.008031     -0.003246
   90319    20120305      -0.011268     -0.004551     -0.003539     -0.003870
   90319    20120306      -0.015124     -0.017379     -0.017306     -0.015370
   90319    20120307       0.003041      0.007942      0.009483      0.006901
   90319    20120308       0.000560      0.010859      0.010692      0.009818
   90319    20120309      -0.011348      0.004495      0.007768      0.003631
   90319    20120312       0.008163     -0.001367     -0.001611      0.000160
   90319    20120313       0.020871      0.017606      0.014480      0.018132
   90319    20120314      -0.002898     -0.003919     -0.006757     -0.001196
   90319    20120315       0.008344      0.006511      0.004869      0.005967
   90319    20120316       0.006295      0.001335      0.001369      0.001119
   90319    20120319       0.014303      0.003999      0.004746      0.003974
   90319    20120320      -0.000773     -0.004507     -0.005338     -0.003001
   90319    20120321       0.010245     -0.001123      0.001131     -0.001871
   90319    20120322       0.009485     -0.008099     -0.008249     -0.007207
   90319    20120323      -0.005356      0.004472      0.007160      0.003109
   90319    20120326       0.010489      0.013959      0.011392      0.013886
   90319    20120327      -0.003558     -0.003654     -0.002838     -0.002817
   90319    20120328       0.013508     -0.005516     -0.005409     -0.004942
   90319    20120329      -0.011208     -0.001895     -0.001653     -0.001608
   90319    20120330      -0.011058      0.003351      0.002024      0.003698
   90319    20120402       0.008858      0.008052      0.007351      0.007505
   90319    20120403      -0.006647     -0.004445     -0.006565     -0.003989
   90319    20120404      -0.011624     -0.011810     -0.011965     -0.010202
   90319    20120405      -0.004456     -0.000802     -0.000687     -0.000629
   90319    20120409      -0.002341     -0.011364     -0.011932     -0.011358
   90319    20120410      -0.006309     -0.018009     -0.016253     -0.017081
   90319    20120411       0.014517      0.008509      0.011544      0.007449
   90319    20120412       0.023665      0.015079      0.013034      0.013779
   90319    20120413      -0.040568     -0.012386     -0.010668     -0.012475
   90319    20120416      -0.029667     -0.000585     -0.000035     -0.000504
   90319    20120417       0.005775      0.014948      0.010763      0.015487
   90319    20120418      -0.003478     -0.004028     -0.006151     -0.004055
   90319    20120419      -0.013417     -0.004658     -0.002353     -0.005934
   90319    20120420      -0.005406      0.001631      0.003792      0.001169
   90319    20120423       0.002584     -0.009532     -0.009771     -0.008408
   90319    20120424       0.006141      0.003249      0.005771      0.003680
   90319    20120425       0.014054      0.013821      0.010281      0.013645
   90319    20120426       0.009431      0.006807      0.005776      0.006680
   90319    20120427      -0.000796      0.003895      0.005274      0.002414
   90319    20120430      -0.016472     -0.004313     -0.004072     -0.003884
   90319    20120501      -0.000694      0.004869      0.001691      0.005658
   90319    20120502       0.004682     -0.002035     -0.000501     -0.002497
   90319    20120503       0.006192     -0.009943     -0.010855     -0.007659
   90319    20120504      -0.022994     -0.015666     -0.012679     -0.016147
   90319    20120507       0.017723      0.000556      0.001085      0.000351
   90319    20120508       0.008625     -0.005348     -0.004430     -0.004279
   90319    20120509      -0.005940     -0.006016     -0.004077     -0.006702
   90319    20120510       0.007404      0.002869      0.002588      0.002517
   90319    20120511      -0.013737     -0.002778     -0.003641     -0.003387
   90319    20120514      -0.002032     -0.012160     -0.012421     -0.011113
   90319    20120515       0.011771     -0.006029     -0.006528     -0.005746
   90319    20120516       0.029160     -0.004927     -0.007807     -0.004404
   90319    20120517      -0.009349     -0.015843     -0.015911     -0.015051
   90319    20120518      -0.036353     -0.008140     -0.009673     -0.007388
   90319    20120521       0.022835      0.017751      0.016319      0.016036
   90319    20120522      -0.021674     -0.000470     -0.004011      0.000486
   90319    20120523       0.014414      0.002796      0.002394      0.001694
   90319    20120524      -0.009517      0.001002      0.001696      0.001380
   90319    20120525      -0.020094     -0.001539      0.001210     -0.002166
   90319    20120529       0.004750      0.011224      0.009963      0.011079
   90319    20120530      -0.010280     -0.015481     -0.014326     -0.014335
   90319    20120531      -0.012529     -0.001964     -0.000487     -0.002277
   90319    20120601      -0.017009     -0.024507     -0.020451     -0.024643
   90319    20120604       0.013328     -0.001002     -0.002267      0.000110
   90319    20120605      -0.014138      0.007847      0.008065      0.005727
   90319    20120606       0.017812      0.022686      0.019661      0.023049
   90319    20120607      -0.004031     -0.001374     -0.002025     -0.000106
   90319    20120608       0.003839      0.007125      0.005409      0.008114
   90319    20120611      -0.020587     -0.013951     -0.013468     -0.012620
   90319    20120612      -0.005981      0.011662      0.008888      0.011651
   90319    20120613      -0.007096     -0.006935     -0.007142     -0.007023
   90319    20120614      -0.003636      0.009494      0.007904      0.010815
   90319    20120615       0.009767      0.010109      0.008727      0.010338
   90319    20120618       0.011231      0.002201      0.001768      0.001445
   90319    20120619       0.018709      0.011614      0.012890      0.009816
   90319    20120620      -0.006913     -0.001473     -0.000497     -0.001686
   90319    20120621      -0.021298     -0.023449     -0.018456     -0.022262
   90319    20120622       0.011093      0.007247      0.007577      0.007175
   90319    20120625      -0.018863     -0.015425     -0.011917     -0.015955
   90319    20120626       0.007098      0.004859      0.002919      0.004773
   90319    20120627       0.008182      0.009026      0.009622      0.008985
   90319    20120628      -0.008765     -0.002125     -0.002531     -0.002110
   90319    20120629       0.027928      0.025610      0.023311      0.024920
   90319    20120702       0.000690      0.003868      0.006684      0.002459
   90319    20120703       0.012679      0.008940      0.010767      0.006232
   90319    20120705       0.013762     -0.004123     -0.000733     -0.004687
   90319    20120706      -0.016680     -0.009956     -0.007701     -0.009433
   90319    20120709       0.000051     -0.002193     -0.002344     -0.001639
   90319    20120710      -0.007355     -0.008807     -0.008240     -0.008126
   90319    20120711      -0.018068     -0.000303     -0.000282     -0.000015
   90319    20120712      -0.001243     -0.004880     -0.004134     -0.004987
   90319    20120713       0.010588      0.015253      0.010665      0.016497
   90319    20120716      -0.002775     -0.002467     -0.003494     -0.002314
   90319    20120717       0.003148      0.006708      0.002457      0.007410
   90319    20120718       0.006988      0.006246      0.003871      0.006681
   90319    20120719       0.021179      0.002819      0.000016      0.002717
   90319    20120720       0.029946     -0.009908     -0.008733     -0.010062
   90319    20120723       0.007678     -0.010140     -0.012004     -0.008909
   90319    20120724      -0.012900     -0.009410     -0.009270     -0.009041
   90319    20120725       0.000691      0.000714      0.002465     -0.000314
   90319    20120726       0.008832      0.015498      0.008642      0.016541
   90319    20120727       0.035216      0.018906      0.016470      0.019081
   90319    20120730      -0.004189     -0.000796     -0.002846     -0.000483
   90319    20120731       0.001060     -0.004969     -0.003201     -0.004317
   90319    20120801      -0.000458     -0.004475     -0.009081     -0.003030
   90319    20120802      -0.006212     -0.007290     -0.005662     -0.007374
   90319    20120803       0.020008      0.019216      0.017764      0.019040
   90319    20120806       0.002323      0.003528      0.006633      0.002329
   90319    20120807      -0.003547      0.006347      0.006234      0.005107
   90319    20120808       0.002638      0.000184     -0.000985      0.000621
   90319    20120809       0.000187      0.001632      0.003390      0.000414
   90319    20120810      -0.000545      0.001878     -0.000714      0.002188
   90319    20120813       0.028053     -0.001901     -0.002122     -0.001252
   90319    20120814       0.013106     -0.000010     -0.002248     -0.000128
   90319    20120815      -0.001675      0.002741      0.004557      0.001140
   90319    20120816       0.007985      0.007898      0.008086      0.007101
   90319    20120817       0.006346      0.002643      0.004758      0.001872
   90319    20120820      -0.002363     -0.000603     -0.001571     -0.000021
   90319    20120821      -0.008926     -0.002326     -0.000635     -0.003498
   90319    20120822       0.011456     -0.000101     -0.001769      0.000226
   90319    20120823      -0.000561     -0.007327     -0.004534     -0.008072
   90319    20120824       0.002704      0.005503      0.003249      0.006455
   90319    20120827      -0.013866     -0.000554     -0.000562     -0.000489
   90319    20120828       0.011999      0.000250      0.002383     -0.000808
   90319    20120829       0.015888      0.001006      0.001836      0.000844
   90319    20120830      -0.009200     -0.007791     -0.007581     -0.007806
   90319    20120831       0.005002      0.005874      0.005303      0.005073
   90319    20120904      -0.005912      0.000683      0.003257     -0.001166
   90319    20120905      -0.000470     -0.000603     -0.000701     -0.001068
   90319    20120906       0.027442      0.019456      0.013690      0.020436
   90319    20120907       0.009651      0.005651      0.006500      0.004050
   90319    20120910      -0.007619     -0.005680     -0.001847     -0.006148
   90319    20120911      -0.012244      0.003425      0.004919      0.003135
   90319    20120912      -0.001893      0.002643      0.003966      0.002093
   90319    20120913       0.021943      0.015280      0.011218      0.016310
   90319    20120914       0.005156      0.006140      0.008189      0.003959
   90319    20120917       0.000423     -0.004545     -0.004125     -0.003125
   90319    20120918       0.011691     -0.001779     -0.000302     -0.001280
   90319    20120919       0.012836      0.001315      0.001816      0.001185
   90319    20120920       0.000848     -0.001935     -0.003646     -0.000541
   90319    20120921       0.008067      0.000447      0.004981     -0.000075
   90319    20120924       0.020968     -0.003072     -0.003206     -0.002233
   90319    20120925      -0.000294     -0.010795     -0.009620     -0.010502
   90319    20120926       0.005740     -0.005508     -0.004866     -0.005737
   90319    20120927       0.004035      0.010037      0.009004      0.009649
   90319    20120928      -0.002644     -0.004496     -0.003450     -0.004478
   90319    20121001       0.009649      0.002808      0.002686      0.002652
   90319    20121002      -0.006288      0.001179      0.000358      0.000872
   90319    20121003       0.007279      0.002520     -0.000075      0.003624
   90319    20121004       0.007279      0.007665      0.006553      0.007174
   90319    20121005      -0.000521     -0.000143     -0.000816     -0.000322
   90319    20121008      -0.012779     -0.003573     -0.003513     -0.003457
   90319    20121009      -0.018144     -0.009778     -0.009101     -0.009891
   90319    20121010       0.000632     -0.005548     -0.004100     -0.006188
   90319    20121011       0.009294      0.001748      0.004541      0.000195
   90319    20121012      -0.008956     -0.003495     -0.004211     -0.002966
   90319    20121015      -0.005062      0.007238      0.004203      0.008078
   90319    20121016       0.005020      0.009928      0.007051      0.010270
   90319    20121017       0.014489      0.005076      0.005617      0.004117
   90319    20121018      -0.080067     -0.002692     -0.003857     -0.002444
   90319    20121019      -0.019007     -0.015630     -0.013002     -0.016571
   90319    20121022      -0.004576      0.000194     -0.000217      0.000440
   90319    20121023       0.002475     -0.012913     -0.006968     -0.014444
   90319    20121024      -0.004480     -0.002619     -0.001404     -0.003085
   90319    20121025       0.000676      0.003295      0.002153      0.002996
   90319    20121026      -0.003851     -0.001378     -0.001835     -0.000729
   90319    20121031       0.007624      0.002487      0.003479      0.000156
   90319    20121101       0.010719      0.011187      0.009688      0.010927
   90319    20121102       0.000477     -0.009744     -0.008756     -0.009379
   90319    20121105      -0.007207      0.002246      0.003177      0.002164
   90319    20121106      -0.001816      0.007865      0.006034      0.007853
   90319    20121107      -0.021416     -0.021054     -0.017904     -0.023705
